F Number: F270477
VERSION : SpotTool+            
$VERSION: V9.30126      2/12/2021
DATE:     11-AUG-21 11:01:08 

Spot Weld Process Summary File
HIST_IDX,PROGRAM,PROCESS_ID,TOUCHUP_TIME,Exec_time,Fault,Bookmark,Weld time ( ms),Time to force ( ms),Weld sched,SD index,P index,ED index,Inst type,Gun num,Retried,Weld noweld,FFR active,Thick before ( mm),Setdown ( mm),Tip wear ( mm),SD val ( mm),Thick val ( mm),Pressure cmd ( lbf),ED val ( mm),Contact pos ( mm),Pressure pos ( mm),Pressure trq ( trq),Pressure fdb ( lbf),Tip Open trq ( Kgf),Motor TEMP ( deg C),****,****,****,****,****,****,
 48,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:41:48  ,None ,00-0-80 00:00:00  ,0496 ,  72 ,       248 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.44 ,.01 ,-.13 ,5.00 ,0.00 ,1400.00 ,5.00 ,2.37 ,3.44 ,14.50 ,1411.94 ,82.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 49,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:42:18  ,None ,00-0-80 00:00:00  ,1232 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,2.70 ,.02 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,-.68 ,.29 ,14.50 ,1411.94 ,79.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 50,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:42:32  ,None ,00-0-80 00:00:00  ,1240 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,2.61 ,.01 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,-.67 ,.38 ,14.47 ,1408.71 ,77.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 , , , ,AVG,21015.00,0.00,490.31,67.85,249.79,63.00,53.94,63.00,1.00,1.00,0.00,.21,0.00,10.02,.00,.00,1.25,10.08,862.31,1.25,-8.41,-7.98,8.95,866.08,50.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
 , , , ,MAX,23300.00,0.00,1240.00,96.00,254.00,81.00,58.00,81.00,1.00,1.00,0.00,1.00,0.00,13.47,.02,1.71,5.00,12.80,1400.00,5.00,2.37,3.44,14.76,1442.64,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
 , , , ,MIN,0.00,0.00,40.00,56.00,248.00,9.00,50.00,9.00,1.00,1.00,0.00,0.00,0.00,-.45,-.01,-.13,0.00,0.00,300.00,0.00,-11.93,-11.91,2.62,282.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  1,TD_DRESSCAP,1, 28-JUL-21 01:35:52 , 28-JUL-21 01:35:52  ,None ,00-0-80 00:00:00  ,1224 ,   0 ,       254 , 78 , 90 , 46 ,1 ,1 ,0 ,1 ,0 ,10.67 ,.17 ,.00 ,0.00 ,5.00 ,360.00 ,20.00 ,-8.72 ,-9.45 ,3.64 ,378.51 ,46.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  2,TD_DRESSCAP,1, 28-JUL-21 01:35:52 , 08-AUG-21 10:12:14  ,None ,00-0-80 00:00:00  ,1560 , 136 ,       253 , 78 , 91 , 78 ,1 ,1 ,0 ,1 ,0 ,10.63 ,0.00 ,.34 ,0.00 ,5.00 ,360.00 ,0.00 ,-8.68 ,-9.41 ,3.58 ,374.26 ,40.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  3,TD_DRESSCAP,1, 28-JUL-21 01:35:52 , 08-AUG-21 10:12:16  ,None ,00-0-80 00:00:00  ,1224 ,  96 ,       254 , 78 , 90 , 46 ,1 ,1 ,0 ,1 ,0 ,10.25 ,0.00 ,.34 ,0.00 ,5.00 ,360.00 ,20.00 ,-8.32 ,-9.08 ,3.34 ,353.70 ,47.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 , , , ,AVG,0.00,0.00,1336.00,77.33,253.67,78.00,90.33,56.67,1.00,1.00,0.00,1.00,0.00,10.52,.05,.22,0.00,5.00,360.00,13.33,-8.57,-9.31,3.52,368.82,44.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
